연도,자치구,소계,버스,지하철,택시,,자동차_등록대수,전년대비 자동차_증감
2021,종로구,141759969,57821751,75771163,8167055,,50049,-11
2021,중구,149856039,39190006,100938579,9727454,,53107,1947
2021,용산구,87031985,43905878,32335411,10790696,,79486,3005
2021,성동구,96087425,31552270,56470250,8064905,,106435,905
2021,광진구,95731490,29859594,56633974,9237922,,98658,-114
2021,동대문구,97942712,57791744,31218408,8932560,,98170,352
2021,중랑구,79293944,41568031,29571182,8154731,,114237,2120
2021,성북구,112791260,67929727,37822410,7039123,,120909,1727
2021,강북구,88255787,54255008,28068271,5932508,,75570,-511
2021,도봉구,67739876,37019485,25198610,5521781,,95462,-389
2021,노원구,108740071,46165813,52909026,9665232,,152701,533
2021,은평구,110416503,57517380,45319869,7579254,,132052,2789
2021,서대문구,95958124,60695355,28742860,6519909,,89578,1541
2021,마포구,148131112,56944960,78992624,12193528,,119380,1069
2021,양천구,83179122,46183700,30359568,6635854,,151626,2268
2021,강서구,125896852,52107668,62794479,10994705,,204246,-97
2021,구로구,123387880,60237240,56036771,7113869,,144667,906
2021,금천구,66752284,42139004,19830665,4782615,,88945,1497
2021,영등포구,157499505,61964048,81402306,14133151,,146625,3861
2021,동작구,109377406,58188663,45706535,5482208,,105722,653
2021,관악구,166188364,81960533,75428105,8799726,,118943,-509
2021,서초구,191318304,72872287,104225039,14220978,,178778,-2235
2021,강남구,263148318,93477395,139523472,30147451,,235796,602
2021,송파구,166423657,60517668,89719740,16186249,,245565,4591
2021,강동구,87515237,32292610,45671791,9550836,,152003,6877
2022,종로구,164935619,67454849,89319867,8160903,,50832,783
2022,중구,176154824,45724150,120765784,9664890,,60081,6974
2022,용산구,100875869,50537978,39369572,10968319,,79420,-66
2022,성동구,106165626,34157923,64269063,7738640,,106035,-400
2022,광진구,107246102,33234902,64860255,9150945,,99126,468
2022,동대문구,106610793,63284045,34854710,8472038,,98574,404
2022,중랑구,85919590,46033124,31943438,7943028,,114961,724
2022,성북구,126169567,76331592,43239120,6598855,,122016,1107
2022,강북구,94283492,57994006,30445153,5844333,,75148,-422
2022,도봉구,71242195,38900295,26987249,5354651,,95573,111
