자치구별,연도,발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),사고당 사망률,사고당 부상률,CCTV설치대수
중구,2023,931,134.7,3,2.3,1194,906,0.003222342,1.282491944,330
용산구,2023,996,107.4,11,4.8,1366,601.5,0.011044177,1.371485944,402
성동구,2023,919,75.8,6,2.1,1221,428.8,0.006528836,1.328618063,439
광진구,2023,717,61.4,4,1.1,899,256,0.005578801,1.253835425,92
동대문구,2023,1674,131.7,10,2.8,2039,566.6,0.005973716,1.218040621,229
중랑구,2023,1268,89.4,7,1.8,1704,439.8,0.005520505,1.34384858,304
성북구,2023,1256,85.9,8,1.8,1581,360.8,0.006369427,1.258757962,353
강북구,2023,972,105,5,1.7,1217,415.4,0.005144033,1.252057613,105
도봉구,2023,530,48.9,7,2.3,685,221.3,0.013207547,1.29245283,114
노원구,2023,1366,81.5,9,1.8,1869,371.6,0.00658858,1.368228404,159
은평구,2023,1039,67.1,7,1.5,1353,287.3,0.006737247,1.302213667,371
서대문구,2023,916,86.9,4,1.2,1220,380.5,0.004366812,1.331877729,421
마포구,2023,1250,91.2,14,3.7,1715,457.1,0.0112,1.372,147
양천구,2023,1221,74.3,5,1.1,1624,369.7,0.004095004,1.33005733,198
강서구,2023,1518,67.7,9,1.6,2112,371.3,0.005928854,1.391304348,141
구로구,2023,1359,83.5,5,1.2,1840,442.7,0.003679176,1.353936718,467
금천구,2023,876,82.6,7,2.9,1232,511,0.007990868,1.406392694,191
영등포구,2023,1900,119.6,7,1.8,2619,658.4,0.003684211,1.378421053,613
동작구,2023,1242,103.3,6,1.5,1668,428,0.004830918,1.342995169,73
관악구,2023,980,70,10,2,1252,251.5,0.010204082,1.27755102,751
서초구,2023,2168,114.9,7,1.7,3319,805.4,0.003228782,1.530904059,"1,237"
강남구,2023,3926,145.7,7,1.3,5229,950.2,0.001782985,1.331889964,815
송파구,2023,2614,99.4,10,1.5,3603,545.9,0.003825555,1.37834736,438
강동구,2023,1185,69.1,4,0.9,1522,328.5,0.003375527,1.284388186,143
종로구,2024,917,146,5,3.3,1253,837.5,0.005452563,1.366412214,133
중구,2024,976,146.6,16,12.2,1236,942,0.016393443,1.266393443,330
용산구,2024,868,95.6,12,5.5,1174,540.5,0.013824885,1.352534562,402
성동구,2024,919,76.1,7,2.5,1155,410.6,0.007616975,1.256800871,439
광진구,2024,785,67.8,4,1.1,1018,292,0.005095541,1.296815287,92
동대문구,2024,1520,119.7,5,1.4,1906,531.5,0.003289474,1.253947368,229
중랑구,2024,1199,84.6,8,2.1,1623,421.2,0.006672227,1.353628023,304
성북구,2024,1286,88.3,7,1.6,1628,374.2,0.005443235,1.265940902,353
강북구,2024,877,95.8,5,1.7,1123,388.1,0.005701254,1.28050171,105
도봉구,2024,522,48.6,5,1.6,671,219.3,0.009578544,1.285440613,114
노원구,2024,1288,77.3,5,1,1717,345.8,0.003881988,1.333074534,159
은평구,2024,1218,79,2,0.4,1574,338.2,0.001642036,1.29228243,371
서대문구,2024,818,77.6,6,1.9,1105,346.8,0.007334963,1.350855746,421
마포구,2024,1201,88,11,3,1641,440.2,0.009159034,1.366361366,147
양천구,2024,1274,78,7,1.6,1689,388.9,0.005494505,1.325745683,198
강서구,2024,1538,69.1,12,2.1,2001,355.9,0.007802341,1.301040312,141
구로구,2024,1320,82.1,7,1.7,1736,421.4,0.00530303,1.315151515,467
금천구,2024,798,75.6,8,3.3,1071,448,0.010025063,1.342105263,191
영등포구,2024,1948,123.2,8,2,2643,665.5,0.004106776,1.356776181,613
동작구,2024,1230,102.5,2,0.5,1615,416.9,0.001626016,1.31300813,73
관악구,2024,1254,90.4,13,2.6,1581,319,0.010366826,1.26076555,751
서초구,2024,2027,106.6,17,4.1,2959,716.3,0.008386778,1.459792797,"1,237"
강남구,2024,3754,138.8,11,2,4863,863.4,0.002930208,1.295418221,815
송파구,2024,2500,95.5,20,3,3424,521.7,0.008,1.3696,438
강동구,2024,1428,79.9,9,1.9,1921,399,0.006302521,1.345238095,143
