자치구별,연도,발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명)
강동구,2023,"1,185",69.1,4,0.9,"1,522",328.5
소계,2024,"33,465",92.9,212,2.2,"44,327",461.9
종로구,2024,917,146.0,5,3.3,"1,253",837.5
중구,2024,976,146.6,16,12.2,"1,236",942.0
용산구,2024,868,95.6,12,5.5,"1,174",540.5
성동구,2024,919,76.1,7,2.5,"1,155",410.6
광진구,2024,785,67.8,4,1.1,"1,018",292.0
동대문구,2024,"1,520",119.7,5,1.4,"1,906",531.5
중랑구,2024,"1,199",84.6,8,2.1,"1,623",421.2
성북구,2024,"1,286",88.3,7,1.6,"1,628",374.2
강북구,2024,877,95.8,5,1.7,"1,123",388.1
도봉구,2024,522,48.6,5,1.6,671,219.3
노원구,2024,"1,288",77.3,5,1.0,"1,717",345.8
은평구,2024,"1,218",79.0,2,0.4,"1,574",338.2
서대문구,2024,818,77.6,6,1.9,"1,105",346.8
마포구,2024,"1,201",88.0,11,3.0,"1,641",440.2
양천구,2024,"1,274",78.0,7,1.6,"1,689",388.9
강서구,2024,"1,538",69.1,12,2.1,"2,001",355.9
구로구,2024,"1,320",82.1,7,1.7,"1,736",421.4
금천구,2024,798,75.6,8,3.3,"1,071",448.0
영등포구,2024,"1,948",123.2,8,2.0,"2,643",665.5
동작구,2024,"1,230",102.5,2,0.5,"1,615",416.9
관악구,2024,"1,254",90.4,13,2.6,"1,581",319.0
서초구,2024,"2,027",106.6,17,4.1,"2,959",716.3
강남구,2024,"3,754",138.8,11,2.0,"4,863",863.4
송파구,2024,"2,500",95.5,20,3.0,"3,424",521.7
강동구,2024,"1,428",79.9,9,1.9,"1,921",399.0
